Date,Exchange_Rate
15/01/2011,81.03
15/02/2011,81.47
15/03/2011,84.21
15/04/2011,83.89
15/05/2011,85.43
15/06/2011,89.05
15/07/2011,89.9
15/08/2011,92.79
15/09/2011,96.36
15/10/2011,101.27
15/11/2011,93.68
15/12/2011,86.66
15/01/2012,86.34
15/02/2012,83.18
15/03/2012,83
15/04/2012,83.19
15/05/2012,84.46
15/06/2012,84.79
15/07/2012,84.14
15/08/2012,84.08
15/09/2012,84.61
15/10/2012,85.11
15/11/2012,85.63
15/12/2012,85.99
15/01/2013,86.9
15/02/2013,87.45
15/03/2013,85.82
15/04/2013,84.19
15/05/2013,84.15
15/06/2013,85.49
15/07/2013,86.86
15/08/2013,87.49
15/09/2013,87.41
15/10/2013,85.31
15/11/2013,86.1
15/12/2013,86.31
15/01/2014,86.21
15/02/2014,86.28
15/03/2014,86.49
15/04/2014,86.72
15/05/2014,87.41
15/06/2014,87.61
15/07/2014,87.77
15/08/2014,88.11
15/09/2014,88.84
15/10/2014,89.23
15/11/2014,89.96
15/12/2014,90.44
15/01/2015,91.36
15/02/2015,91.49
15/03/2015,91.73
15/04/2015,97.46
15/05/2015,96.39
15/06/2015,97.7
15/07/2015,101.2
15/08/2015,102.43
15/09/2015,105.27
15/10/2015,102.79
15/11/2015,102.15
15/12/2015,102.19
15/01/2016,102.31
15/02/2016,101.93
15/03/2016,101.49
15/04/2016,101.23
15/05/2016,100.73
15/06/2016,101.14
15/07/2016,101.33
15/08/2016,101.8
15/09/2016,101.5
15/10/2016,101.2
15/11/2016,101.83
15/12/2016,102.45
15/01/2017,103.99
15/02/2017,103.55
15/03/2017,102.97
15/04/2017,103.11
15/05/2017,103.21
15/06/2017,103.27
15/07/2017,103.74
15/08/2017,103.28
15/09/2017,103.21
15/10/2017,103.27
15/11/2017,103.74
15/12/2017,103.28
15/01/2018,101.44
15/02/2018,101.16
15/03/2018,100.54
15/04/2018,100.87
15/05/2018,101.01
15/06/2018,101.01
15/07/2018,100.6
15/08/2018,100.71
15/09/2018,100.88
15/10/2018,101.16
15/11/2018,102.44
15/12/2018,102.16
15/01/2019,101.3
15/02/2019,100.17
15/03/2019,100.47
15/04/2019,101.21
15/05/2019,101.2
15/06/2019,101.89
15/07/2019,103.31
15/08/2019,103.44
15/09/2019,103.79
15/10/2019,103.55
15/11/2019,102.2
15/12/2019,101.32
15/01/2020,100.97
15/02/2020,101.27
15/03/2020,104.05
15/04/2020,106.83
15/05/2020,106.65
15/06/2020,106.48
15/07/2020,107.46
15/08/2020,107.93
15/09/2020,108.6
15/10/2020,109.14
15/11/2020,110.36
15/12/2020,110.52
15/01/2021,109.89
15/02/2021,109.67
15/03/2021,109.63
15/04/2021,107.84
15/05/2021,107.61
15/06/2021,107.82
15/07/2021,108.26
15/08/2021,109.46
15/09/2021,110.21
15/10/2021,111.1
15/11/2021,112.33
15/12/2021,113.14
15/01/2022,113.58
15/02/2022,113.79
15/03/2022,114.6
15/04/2022,115.74
15/05/2022,116.89
15/06/2022,118.32
15/07/2022,119.92
15/08/2022,120.64
15/09/2022,123.88
15/10/2022,124.06
15/11/2022,124.2
15/12/2022,128.58
15/01/2023,130.64
15/02/2023,133.98
15/03/2023,139.61
15/04/2023,138.96
15/05/2023,141.39
15/06/2023,144.48
15/07/2023,146.07
15/08/2023,148.98
15/09/2023,153.25
15/10/2023,155.64
15/11/2023,157.52
15/12/2023,158.81
